Kode_Barang,Nama_Barang,Stok_1,Stok_2,Stok_3,Stok_4,Stok_5,Stok_6,Stok_7,Stok_8,Stok_9,Stok_10,Stok_11,Stok_12,Stok_13,Stok_14,Stok_15
A053,MARKOTOP TUNA & SALMON 85G,24,23,24,24,23,24,24,24,23,23,24,53,24,24,23
A054,MARKOTOP KITTEN &  MOTHER 85G,24,35,24,24,35,24,24,24,35,35,24,23,24,24,35
A055,WHISKAS TUNA 1+ 85G,24,35,24,24,35,24,24,24,35,35,24,35,24,24,35
A056,WHISKAS TUNA MACKAREL 85G,24,56,24,24,56,24,24,24,56,56,24,35,24,24,56
A057,WHISKAS TUNA JUNIOR 85G,12,13,12,12,13,12,12,12,13,13,12,56,24,12,13
A058,CICI TUNA TOPPING CHICKEN  85G,1,41,1,1,41,1,1,1,41,41,1,13,12,1,41
A059,CICI REAL TUNA 85G,1,65,1,1,65,1,1,1,65,65,1,41,1,1,65
A06,MY PET 1 KG,1,54,1,1,54,1,1,1,54,54,1,65,1,1,54
A060,CICI TUNA TOPPING SURIMI 85G,13,34,13,13,34,22,13,22,34,34,13,54,1,13,34
A061,CICI TUNA TOPPING SALMON 85G,1,23,1,1,23,1,1,1,23,23,1,34,22,1,23
A062,MEO CREAMY CHICKEN & LIVER 15G,1,54,1,1,54,1,1,1,54,54,1,23,1,1,54
A063,MEO CREAMY BONITO FLAVOR 15G,24,23,24,24,23,24,24,24,23,23,24,54,1,24,23
A064,MEO TUNA ADULT 80G,6,23,6,6,23,6,6,6,23,23,6,23,24,6,23
A065,MEO TUNA KITTEN 80G,24,54,24,24,54,24,24,24,54,54,24,23,6,24,54
A066,LIFE CAT CHICKEN TUNA ADULT 85G,6,34,6,6,34,6,6,6,34,34,6,54,24,6,34
A067,LIFE CAT CHICKEN KITTEN 85G,24,65,24,24,65,24,24,24,65,65,24,34,6,24,65
A068,TISSUE BIOION,100,76,100,100,76,100,100,100,76,76,100,65,24,100,76
A069,PET SOFT SMALL,24,45,24,24,45,24,24,24,45,45,24,76,100,24,45
A07,MARKOTOP TUNA 1 KG,100,34,100,100,34,34,100,34,34,34,100,45,24,100,34
A070,PET SOFT X-SMALL,48,23,48,48,23,23,48,23,23,23,48,34,34,48,23
A071,PEDIGREE BEEF FLAVOUR IN GRAVY 130G,24,45,24,24,45,45,24,45,45,45,24,23,23,24,45
A072,PEDIGREE CHICKEN FLAVOUR IN GRAVY 130G,24,56,24,24,56,56,24,56,56,56,24,45,45,24,56
A073,RC ADULT PERSIAN 85G,12,76,12,12,76,76,12,76,76,76,12,56,56,12,76
A074,PROPLAN ADULT 85G,21,45,21,21,45,45,21,45,45,45,21,76,76,21,45
A075,PARTY MIX CHICKEN BEEF  60G,48,34,48,48,34,34,48,34,34,34,48,45,45,48,34
A076,PARTY MIX TUNA SALMON 60G,100,56,100,100,56,56,100,56,56,56,100,34,34,100,56
A077,GROWSY MILK,48,67,48,48,67,67,48,67,67,67,48,56,56,48,67
A078,LACK MLK,25,87,25,25,87,87,25,87,87,87,25,67,67,25,87
A079,GROWPPY MILK 30G,25,65,25,25,65,65,25,65,65,65,25,87,87,25,65
A08,LIFE CAT 1 KG,25,54,25,25,54,54,25,54,54,54,25,65,65,25,54
A080,SMART TASTY SNACK TUNA 70G,25,43,25,25,43,43,25,43,43,43,25,54,54,25,43
A081,SMART TASTY SNACK SALMON 70G,24,32,24,24,32,32,24,32,32,32,24,43,43,24,32
A082,SASAMI JERKY,60,32,60,60,32,32,60,32,32,32,60,32,32,60,32
A083,BIO CREAMY,24,65,24,24,65,65,24,65,65,65,24,32,32,24,65
A084,RAWHIDE ISI 3,24,54,24,24,54,54,24,54,54,54,24,65,65,24,54
A085,RAWHIDE ISI 6,60,23,60,60,23,23,60,23,23,23,60,54,54,60,23
A086,RAINBOW SHAMPO CONDIONER AROMA GUCCI 250ML,24,54,24,24,54,54,24,54,54,54,24,23,23,24,54
A087,RAINBOW SHMAPO CONDITIONER AROMA RED ROSE 250ML,24,23,24,24,23,23,24,23,23,23,24,54,54,24,23
A088,RAINBOW SHMAPO CONDITIONER AROMA CANDY 250ML,100,65,100,100,65,65,100,65,65,65,100,23,23,100,65
A089,RAINBOW SHAMPO CONDITIONER AROMA GREEN 250ML,8,76,8,8,76,76,8,76,76,76,8,65,65,8,76
A09,CAT CHOIZE TUNA KITTEN 1 KG,24,53,24,24,53,53,24,53,53,53,24,76,76,24,53
A090,RAINBOW SHAMPO CONTIONER AROMA CRYSTAL NOIR 250ML,100,23,100,100,23,23,100,23,23,23,100,53,53,100,23
A091,RAINBOW  SHAMPO OCEAN BREZE FRESH FRAGRANCE250ML,80,34,80,80,34,34,80,34,34,34,80,23,23,80,34
A092,RAINBOW  SHAMPO LILY WHITE GLOWING FUR  250ML,24,56,24,24,56,56,24,56,56,56,24,34,34,24,56
A093,RAINBOW SHAMPO ORANGE PASSION SOFT FRAGRANCE 250ML,100,150,100,100,150,150,100,150,150,150,100,56,56,100,150
A094,RAINBOW SHAMPO BLACK ROSE ELEGANT FRAGRANCE 250ML,6,34,6,6,34,34,6,34,34,34,6,150,150,6,34
A095,RAINBOW SHAMPO CONDITIONER AROMA RED ROSE 1L,6,23,6,6,23,23,6,23,23,23,6,34,34,6,23
A096,RFAINBOW SHAMPO FOR FLEA & TICK 250ML,24,12,24,24,12,12,24,12,12,12,24,23,23,24,12
A097,FISH OIL SALMON OMEGA,12,53,12,12,53,53,12,53,53,53,12,12,12,12,53
A098,PET DEODORAN 500ML,100,34,100,100,34,34,100,34,34,34,100,53,53,100,34
A099,BEDAK DORIS,100,100,100,100,100,100,100,100,100,100,100,34,34,100,100
A100,RAINBOW SHMAPO FOR FUNGUS 100ML,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
A101,RAINBOW SHAMPO EXTRA SOFT APPLE 250ML,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
A102,ECO PET EXTRA CPNDITIONER APPLE DEN'Z 95ML,12,12,12,12,12,12,12,12,12,12,12,100,100,12,12
A103,MAGIC SHAMPO TWO IN ONE 250ML,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A104,SIKAT GIGI,100,100,100,100,100,100,100,100,100,100,100,12,12,100,100
A105,PET DEODORAN REVIL 50ML,12,12,12,12,12,12,12,12,12,12,12,100,100,12,12
A106,BROOKLYN  80G,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A107,PROVIT GEL,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A108,RAINBOW OBAT JAMUR SPREY 20ML,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A109,RAIBOW OBAT FLU & BATUK 8ML,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A110,RAINBOW OBAT CACING 8ML,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A111,RAINBOW OBAT DEMAM 8ML,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A112,RAINBOT OBAT EAR & TICK 5ML,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A113,RAINBOW OBAT TETES MATA 8ML,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A114,RAINBOW OBAT TETES TELINGA RADANG 8ML,24,24,24,24,24,24,24,24,24,24,24,12,12,24,24
A115,RAINBOW OBAT DIARE/MENCRET 8ML,16,16,16,16,16,16,16,16,16,16,16,24,24,16,16
A116,MARKOTOP TUNA & CHEESE 400G,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
A117,MARKOTOP TUNA SALMON CRANBERRY 400G,48,48,48,48,48,48,48,48,48,48,48,16,16,48,48
A118,PASIR DOWNY 5.5L,24,24,24,24,24,24,24,24,24,24,24,48,48,24,24
A119,PASIR TOP 25L,38,38,38,38,38,38,38,38,38,38,38,24,24,38,38
A120,OLIVE SHAMPO FLEA & TICK 250ML,24,24,24,24,24,24,24,24,24,24,24,38,38,24,24
A121,BEAUTY 1KG,36,36,36,36,36,36,36,36,36,36,36,24,24,36,36
A122,CHESTER CAT 1KG,30,30,30,30,30,30,30,30,30,30,30,36,30,30,30
A123,BOLT CAT SALMON 1KG,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
A124,BOLT CAT DONAT 1KG,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
A125,BOLT CAT TUNA 1KG,96,96,96,96,96,96,96,96,96,96,96,30,96,96,96
A126,BOLT CAT SALMON KITTEN 1KG,24,24,24,24,24,24,24,24,24,24,24,96,24,24,24
A127,WINKY CAT IKG,12,12,12,12,12,12,12,12,12,12,12,24,12,12,12
A128,NICE CAT 1KG,6,6,6,6,6,6,6,6,6,6,6,12,6,6,6
A129,TASTY CHOIZE KITTEN 500G,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
A130,TASTY CHOIZE PERSIAN 500G,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
A131,MAXI CAT 500G,36,36,36,36,36,36,36,36,36,36,36,6,36,36,36
A132,OMEGA TUNA 500G,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
A133,EQUILIBRIO KITTEN 500G,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
A134,EQUILIBRIO ADULT 500GR,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
A135,KITCHEN FLAVOR GREEN  FREE 500G,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
A136,CLEO TUNA 500GR,48,48,48,48,48,48,48,48,48,48,48,36,48,48,48
A137,CLEO KITTEN OCEAN FISH 500G,36,36,36,36,36,36,36,36,36,36,36,48,36,36,36
A139,MEO PERSIAN 500G,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
A140,PROPLAN KITTEN 500G,48,48,48,48,48,48,48,48,48,48,48,36,48,48,48
A141,PROPLAN ADULT 500G,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
A142,MEO KITTEN OCHEAN FISH 500G,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
A143,BOLT DOG BEEF 1KG,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
A144,BOLT DOG LAMB 1KG,12,12,12,12,12,12,12,12,12,12,12,48,12,12,12
A145,B0LT DOG BEEF FLAVOR 1KG,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A146,PASIR MICHIO 10L,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A147,PASIR MICHIO 5.5L,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A148,PASIR MICHIO 3.5,72,72,72,72,72,72,72,72,72,72,72,12,72,72,72
A149,PASIR SNO SNO 5.5L,36,36,36,36,36,36,36,36,36,36,36,72,36,36,36
A150,PASIR POWPOW 5.5L,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
A151,PASIR DOWNY 20L,12,12,12,12,12,12,12,12,12,12,12,36,12,12,12
A152,PASIR ORGANIK 7KG,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A153,PASIR ZEOLIT CUCI 25L,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A154,BOLT BEEF FLAVOR 1KG,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A155,OLIVE FLEA & TICK 25ML,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A156,PROGESTERON ANTI LIBIDO 5ML,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A157,LEVALEN OBAT CACING 10ML,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A158,TYLOVER OBAT FLU & BATUK 10ML,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A159,NUTRI PLUS GEL,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A160,PERFORMAX GEL 20G,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A161,CORNIMAX GEL 20G,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A162,NUTRI PLUS GEL 120.5GR,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A163,MIU DROPS 30ML,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A164,WORMIX OBAT CACING 30ML,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A165,GROKIT KITTEN 30ML,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A166,ALLIUM DROPS 30ML,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A167,PET DEODORANT REVIL CARBO,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A168,MAINAN BONEKA IKAN,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A169,MAINAN TIKUS,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A170,TULANG GERIGI,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A171,MAINAN BOLA BULU,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A172,BAJU KUCING L,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A173,BAJU KUCING XL,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A175,BAJU KUCING S,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A176,SISIR KUTU M,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A177,SISIR KUTU S,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A178,SISIR TERMINATOR,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A179,SISIR KAWAT M02,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A180,SISIR TAPAK S,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A181,SISIR GG KAYU S,36,36,36,36,36,36,36,36,36,36,36,12,36,36,36
A183,SISIR GG KAYU XS,12,12,12,12,12,12,12,12,12,12,12,36,12,12,12
A184,SISIR KAWAT S01,36,36,36,36,36,36,36,36,36,36,36,12,36,36,36
A185,SISIR PET PRODUCTION,12,12,12,12,12,12,12,12,12,12,12,36,12,12,12
A186,PET COLAR KECIL,24,24,24,24,24,24,24,24,24,24,24,12,24,24,24
A187,PET COLAR BESAR,12,12,12,12,12,12,12,12,12,12,12,24,12,12,12
A188,SEROKAN PANJANG,6,6,6,6,6,6,6,6,6,6,6,12,6,6,6
A189,SEROKAN PENDEK,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3
A190,SEROKAN JUMBO,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6
A191,HARNES DOG,12,12,12,12,12,12,12,12,12,12,12,6,12,12,12
A192,HARNES DOG A (L),12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A193,KALUNG LEASH & HARNES,24,24,24,24,24,24,24,24,24,24,24,12,24,24,24
A194,KALUNG HARNES Y POLOS,12,12,12,12,12,12,12,12,12,12,12,24,12,12,12
A196,KALUNG HARNES H STRIP,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A197,KALUNG DOREN BEL KARAKTER,6,6,6,6,6,6,6,6,6,6,6,12,6,6,6
A198,KALUNG DOREN KARAKTER,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
A199,KALUNG PERUSIK,12,12,12,12,12,12,12,12,12,12,12,6,12,12,12
A200,KALUNG POM POM BEL,6,6,6,6,6,6,6,6,6,6,6,12,6,6,6
A201,KALUNG POLOS BEL,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1
A202,KALUNG STRIP BEL KECIL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A203,KALUNG MOTIF BEL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A204,KALUNG STRIP BEL BESAR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A205,KALUNG MOTIF BEL KARAKTER,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6
A206,KALUNG TUN TUN RANTAI,24,24,24,24,24,24,24,24,24,24,24,6,24,24,24
A207,HARNES ROMPI,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
A208,PET ROLLER KERTAS,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
A209,PET ROLLER CUCI,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
A210,PET NAIL CLEPER,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
A211,BOTOL DOT,28,28,28,28,28,28,28,28,28,28,28,24,28,28,28
A212,BOTOL DOT + SIKAT,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
A213,SARUNG TANGAN GROOMING,24,24,24,24,24,24,24,24,24,24,24,28,24,24,24
A214,SIKAT BULU GROOMING,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
A215,TAS ASTRONOT MOTIF,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
A216,TAS ASTRONOT WAHYU,20,20,20,20,20,20,20,20,20,20,20,24,20,20,20
A217,TAS RANSEL BENING WAHYU,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
A218,TAS TRANSPARAN,24,24,24,24,24,24,24,24,24,24,24,20,24,24,24
A219,TAS 3 IN 1,10,10,10,10,10,10,10,10,10,10,10,24,10,10,10
A220,KANDANG ACIS,24,24,24,24,24,24,24,24,24,24,24,10,24,24,24
A221,KANDANG GROOMING,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
A222,KANDANG HAMSTER KECIL,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
A223,KASUR TENDA,6,6,6,6,6,6,6,6,6,6,6,24,6,6,6
A224,KASUR TIDUR KOTAK,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
A225,KASUR OVAL,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
A226,PIRING KUCING ( FRISHBEE ),28,28,28,28,28,28,28,28,28,28,28,6,28,28,28
A227,PET CARGO,24,24,24,24,24,24,24,24,24,24,24,28,24,24,24
A228,TEMPAT MAKAN ANTI SEMUIT,30,30,30,30,30,30,30,30,30,30,30,24,30,30,30
A229,TEMPAT MAKAN KEPALA KUCING,36,36,36,36,36,36,36,36,36,36,36,30,36,36,36
A230,TEMPAT MAKAN TULANG,50,50,50,50,50,50,50,50,50,50,50,36,50,50,50
A231,TEMPAT MAKAN DOUBLE KOTAK,36,36,36,36,36,36,36,36,36,36,36,50,36,36,36
A232,TEMPAT MAKAN DOUBLE KOTAK ANTI SEMUT,24,24,24,24,24,24,24,24,24,24,24,36,24,24,24
A233,TEMPAT MKAN DISPENSER KECIL,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
A234,TEMPAT MAKAN DISPENSER BESAR,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
A235,BAK BESAR SEGI,6,6,6,6,6,6,6,6,6,6,6,24,6,6,6
A236,BAK KECIL SEGI,24,24,24,24,24,24,24,24,24,24,24,6,24,24,24
A237,BAK SEDANG WARNA,60,60,60,60,60,60,60,60,60,60,60,24,60,60,60
A238,LITER BOX WARNA SEDANG,12,12,12,12,12,12,12,12,12,12,12,60,12,12,12
A239,DOG TOILET WAVY SMALL,6,6,6,6,6,6,6,6,6,6,6,12,6,6,6
A240,DOG TOILET DIAMOND,12,12,12,12,12,12,12,12,12,12,12,6,12,12,12
A241,CAT LITER BOX,6,6,6,6,6,6,6,6,6,6,6,12,6,6,6
A242,KANEBO,28,28,28,28,28,28,28,28,28,28,28,6,28,28,28
A243,KALUNG HARNES TUNTUN,24,24,24,24,24,24,24,24,24,24,24,28,24,24,24
A244,KALUNG TUNTUN BEL POLOS,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
A245,SUNTIKAN PLONTAR FEEDING KIT,60,60,60,60,60,60,60,60,60,60,60,24,60,60,60
A246,SUNTIKAN PLONTAR HAPPY TOYS,10,10,10,10,10,10,10,10,10,10,10,60,10,10,10
A248,TALI TULANG,30,30,30,30,30,30,30,30,30,30,30,10,30,30,30
A249,PASIR TAMA 3.5,20,20,20,20,20,20,20,20,20,20,20,30,20,20,20
A250,UNDEAD,6,6,6,6,6,6,6,6,6,6,6,20,6,6,6
A251,PASIR AROMATIK ALMEY 10L,36,36,36,36,36,36,36,36,36,36,36,6,36,36,36
A252,PASIR NINO 5.5 L,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
A253,PASIR NINO 25L,12,12,12,12,12,12,12,12,12,12,12,36,12,12,12
A254,CAT NIP,24,24,24,24,24,24,24,24,24,24,24,12,24,24,24
A255,MINIMO PLUS 500G,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
A256,JUNIOR CREAMY  TREATS CHICKEN 15 GR,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
A257,JUNIOR CREAMY TREATS   TUNA 15 GR,6,6,6,6,6,6,6,6,6,6,6,24,6,6,6
A258,JUNIOR CREAMY TREATS SALMON 15 GR,12,12,12,12,12,12,12,12,12,12,12,6,12,12,12
A259,SUSU KONEKO 20G,1,1,1,1,1,1,1,1,1,1,1,12,1,1,1
A260,CLEOPET SHAMPO FOR FUNGUS 250ML,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6
A261,CLEO PET NATURAL SHAMPO STRAWBERRY PUNCH 250ML,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
A263,CLEO PET NATURAL SHAMPO ORANGE PASSION 250ML,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
A264,RAINBOW NATURAL SHAMPO STRAWBERRY PUNCH 250ML,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1
A265,NATURAL SEPTIC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A266,RAINBOW SHAMPO ANTI KUTU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A267,NUTRI PLUS GEL 15G,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A268,RC MINI ADULT 500G,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6
A269,BOLT DOG BEEF 500G,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1
A270,PET BUDDY MAXI 1KG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A271,PEDIGREE 500G,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A272,PET BUDDY LOVE BEEF 800G,12,12,12,12,12,12,12,12,12,12,12,1,12,12,12
A273,CANIBITE HK 700G,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A278,SISIR GG KAYU M,6,6,6,6,6,6,6,6,6,6,6,12,6,6,6
A279,MAIANAN BOLA KRINCING ISI 4,12,12,12,12,12,12,12,12,12,12,12,6,12,12,12
A280,BAK SEDANG SEGI,6,6,6,6,6,6,6,6,6,6,6,12,6,6,6
A281,RC MOTHER & BABY 500GR,24,24,24,24,24,24,24,24,24,24,24,6,24,24,24
